DynoWare,Version 3.1.2.0
Path:,C:\Kistler\Dynoware\Data\
Filename:,messdat.dwd
Config ID:,messdat_069.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, November 29, 2023
Time:,16:34:38
Sampling rate [Hz]:,1000
Measuring time [s]:,75
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,75001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
0,-0.962394,-0.0152588,-1.36239
0.001,0.166757,0.0980922,-0.143869
0.002,0.393459,-0.88719,0.0828334
0.003,-1.0594,0.689915,-0.719343
0.004,0.455584,-0.454494,-0.695365
0.005,-0.0534058,-0.487191,-0.320435
0.006,-0.802176,0.0555856,-0.904628
0.007,-1.11171,-0.114441,-0.418527
0.008,-1.21961,0.166757,-0.0871931
0.009,-0.163487,-0.0544957,0.449044
0.01,0.287737,0.889369,0.427246
0.011,0.780378,0.790187,1.58255
0.012,0.297546,0.245231,1.42125
0.013,0.013079,0.838144,1.16403
0.014,0.407628,0.480652,0.488281
0.015,-0.160217,0.385829,0.25068
0.016,-0.782558,0.209263,0.263759
0.017,-1.47574,0.420707,-0.198364
0.018,-0.301906,0.202724,0.837054
0.019,0.804356,-0.365121,-0.616891
0.02,0.165667,0.112261,-0.603812
0.021,0.443595,-0.0490461,-0.100272
0.022,-0.236511,0.0163487,0.111171
0.023,0.415257,0.590733,-0.411987
0.024,0.50899,-0.38365,-0.680106
0.025,-0.926427,0.235421,-1.23378
0.026,-0.940595,-0.189645,-0.924247
0.027,-1.82016,-0.343323,-0.479562
0.028,-0.195095,0.728062,-0.0741141
0.029,0.779288,-0.132969,0.869751
0.03,0.595093,0.88174,0.514439
0.031,0.225612,0.658308,1.25776
0.032,0.729152,0.692095,0.823975
0.033,0.0479562,1.32207,1.18365
0.034,-0.788007,0.0294277,0.302996
0.035,-0.24959,1.26321,0.0457764
0.036,0.736782,-0.301906,1.19019
0.037,-0.332424,0.63215,0.76076
0.038,0.425066,-0.00544957,-0.0523158
0.039,-0.743321,-0.38147,-0.525338
0.04,0.0577654,-0.171116,-1.03106
0.041,-0.244141,-0.910078,-0.667027
0.042,-0.311715,0.682286,-0.75858
0.043,0.0348772,-0.75749,-0.420707
0.044,-0.491551,0.00435965,-0.952584
0.045,0.0610352,-0.660488,-0.941685
0.046,-1.21961,-0.651768,-0.5079
0.047,-0.602722,1.08228,-0.385829
0.048,-0.147138,-0.712803,-0.0152588
0.049,1.10517,0.701904,0.453404
0.05,0.710624,0.0937326,-0.307356
0.051,-0.135149,0.620161,0.616891
0.052,-0.088283,1.51062,0.431606
0.053,-0.305176,0.737871,0.843593
0.054,-0.835964,0.859942,0.516619
0.055,-0.847953,0.183105,0.0566755
0.056,-0.141689,0.368391,0.959124
0.057,0.790187,0.219073,1.14005
0.058,-0.11989,0.409808,0.213623
0.059,-0.567845,0.433786,-0.599452
0.06,0.191825,-0.537327,-1.15967
0.061,-0.161307,0.0414167,-0.63215
0.062,0.349862,-0.941685,-0.856672
0.063,-0.803266,-0.0435965,-1.06376
0.064,-0.8861,-0.325884,-0.710624
0.065,-0.185285,-0.671387,-1.04196
0.066,-0.38038,0.0621251,-1.00708
0.067,0.0839233,-0.537327,0.324794
0.068,-0.992911,0.589643,0.261579
0.069,0.516619,0.467573,0.431606
0.07,0.7564,0.583104,-0.139509
0.071,-0.0174386,1.15313,0.492641
0.072,0.906808,0.50681,0.906808
0.073,-1.67847,1.33514,0.442505
0.074,-0.0566755,-0.440325,0.263759
0.075,0.269209,0.915527,0.475202
0.076,-0.0305176,0.107901,0.111171
0.077,-0.205994,0.362941,0.743321
0.078,-0.167847,0.598363,0.425066
0.079,-0.269209,-0.526428,-0.802176
0.08,-0.25722,0.719343,-1.13351
0.081,0.417437,-0.598363,-0.514439
0.082,0.831604,0.649588,-0.148228
0.083,-0.309535,0.304086,-0.311715
0.084,-1.35585,-0.464303,-1.34059
0.085,-0.187465,-0.175476,-1.30354
0.086,0.101362,-0.556946,-0.597273
0.087,-1.16948,0.671387,-0.405448
0.088,0.151498,0.317165,0.854492
0.089,1.04087,0.38256,0.985282
0.09,-0.185285,0.692095,-0.638689
0.091,-0.849043,0.50899,0.38147
0.092,0.767299,0.156948,0.50136
0.093,-0.686646,0.75749,0.25504
0.094,-0.617981,0.209263,0.368391
0.095,0.288827,0.588553,0.610352
0.096,1.95966,-0.25613,0.773839
0.097,-0.359671,0.331334,-0.444685
0.098,-1.0703,0.853402,0.0523158
0.099,0.0762939,-0.190735,0.167847
0.1,-0.558036,-0.0239781,-0.863212
0.101,-0.723703,-0.541687,-2.21688
0.102,0.655038,-0.25831,-0.0741141
0.103,1.01471,0.171116,-0.765119
0.104,-0.341143,-0.670297,-0.588553
0.105,-0.807626,-0.325884,-1.74822
0.106,-0.106812,-0.368391,-1.59999
0.107,-0.572205,-0.0152588,-0.994001
0.108,-0.321525,1.09863,-0.0457764
0.109,0.439235,0.233241,1.15531
0.11,0.428336,1.31662,0.802176
0.111,-0.213623,0.520979,0.0653948
0.112,0.660488,0.923157,0.952584
0.113,0.0555856,1.03215,0.980922
0.114,-1.36021,0.0283378,0.305176
0.115,-0.953674,1.01144,-0.586374
