DynoWare,Version 3.1.2.0
Path:,C:\Kistler\Dynoware\Data\
Filename:,messdat.dwd
Config ID:,messdat_062.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, November 29, 2023
Time:,16:01:40
Sampling rate [Hz]:,1000
Measuring time [s]:,75
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,75001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
0,-1.63269,1.82125,-5.2294
0.001,-0.423976,1.48555,-4.99398
0.002,-0.568935,1.89754,-5.43213
0.003,-1.00599,2.2692,-4.33132
0.004,-0.646319,2.48391,-4.05884
0.005,-0.204904,2.55694,-3.7275
0.006,-0.337873,2.91552,-3.67301
0.007,-0.806536,2.79127,-3.55094
0.008,-0.00435965,2.5395,-3.78418
0.009,-0.413077,2.43705,-3.5444
0.01,-0.409808,2.7117,-3.84957
0.011,-0.570025,2.64958,-3.94549
0.012,-0.0108991,2.24631,-4.15911
0.013,-0.966753,2.18964,-4.31824
0.014,-1.57384,1.76348,-5.2621
0.015,-0.229972,1.85503,-5.21633
0.016,-0.324794,1.66539,-4.80434
0.017,-0.769479,1.67956,-5.13567
0.018,-0.576564,1.69155,-5.31224
0.019,-0.273568,1.69264,-5.12913
0.02,-1.50626,1.58909,-5.14875
0.021,-1.07792,1.95204,-5.5324
0.022,-0.562395,1.83977,-4.7651
0.023,-0.827244,1.90844,-4.57982
0.024,-0.796727,2.31716,-4.16129
0.025,-0.25831,2.64086,-3.87355
0.026,-0.110081,2.67029,-3.64467
0.027,-0.474112,2.45884,-3.51824
0.028,-0.821795,2.62015,-3.88445
0.029,-0.0435965,2.37819,-3.87137
0.03,-0.536237,2.68555,-3.85393
0.031,-1.01144,2.60271,-3.89099
0.032,-0.567845,2.4098,-4.33786
0.033,-0.418527,1.891,-4.43595
0.034,-1.00599,1.78528,-4.8305
0.035,-0.862122,2.04904,-5.06156
0.036,-0.245231,1.81253,-5.20543
0.037,-0.574384,1.55204,-4.98744
0.038,-0.858852,1.53787,-5.37545
0.039,-0.765119,1.66103,-5.24684
0.04,-0.840323,1.67629,-5.50842
0.041,-1.02452,1.69046,-5.24902
0.042,-1.02779,1.68828,-5.2403
0.043,-0.497001,2.05013,-4.50788
0.044,-0.477382,2.31934,-3.68609
0.045,-0.25177,2.61034,-3.93895
0.046,-0.795637,2.59617,-3.82124
0.047,0.7564,2.35857,-3.44413
0.048,-0.940595,2.56675,-3.96511
0.049,-1.5455,2.45884,-4.21579
0.05,0.280108,2.48609,-3.94331
0.051,-0.0948225,2.43051,-3.58582
0.052,-1.59999,2.30081,-4.15039
0.053,-0.421797,2.28119,-4.61687
0.054,-0.170027,1.81144,-4.61033
0.055,-0.844683,1.78855,-5.09426
0.056,-0.929696,1.93896,-5.38199
0.057,-0.75858,1.74931,-4.98308
0.058,-0.892639,1.55422,-5.56292
0.059,-0.982012,1.69046,-5.23594
0.06,-0.692095,1.93133,-5.17273
0.061,-0.716073,1.57493,-4.52532
0.062,-0.166757,2.03705,-4.50352
0.063,-0.361851,2.32915,-4.29208
0.064,-0.590733,2.33895,-4.22668
0.065,-0.871931,2.4207,-4.36401
0.066,-1.00054,2.56239,-4.16129
0.067,0.00544957,2.60598,-4.25066
0.068,-0.922067,2.46974,-3.92805
0.069,-0.682286,2.56348,-3.96511
0.07,0.282288,2.41416,-3.87573
0.071,-0.450134,2.47955,-3.96075
0.072,-1.57819,2.21688,-4.11551
0.073,0.0217983,2.38691,-4.65611
0.074,-0.847953,2.13078,-4.60161
0.075,-0.425066,1.8365,-4.52968
0.076,-0.438145,2.1177,-5.01578
0.077,-0.356402,1.93133,-5.34494
0.078,-0.352042,1.86593,-5.18363
0.079,-1.21416,1.80708,-5.16837
0.08,-1.02561,1.45176,-5.49534
0.081,-0.398908,1.71879,-5.20543
0.082,-1.33187,1.59127,-5.273
0.083,-1.46266,2.26048,-4.46647
0.084,0.0686646,2.4207,-4.31388
0.085,-0.936236,2.4534,-3.72314
0.086,-0.549316,2.59072,-3.66647
0.087,0.239781,2.69754,-3.71661
0.088,-0.62888,2.6365,-3.76238
0.089,-0.819615,2.4316,-3.67083
0.09,0.0512259,2.42615,-3.93459
0.091,-0.12643,2.61361,-3.94331
0.092,-0.645229,2.38909,-3.99126
0.093,-0.672477,2.10135,-4.23104
0.094,-0.158037,1.83541,-5.05502
0.095,-0.452314,1.71225,-5.13349
0.096,-0.929696,1.61198,-5.17709
0.097,-0.740051,1.47792,-5.12695
0.098,-0.894819,1.48555,-5.5215
0.099,-0.88065,1.58255,-5.35148
0.1,-0.962394,1.73732,-4.82178
0.101,-0.954764,1.71334,-5.44957
0.102,-0.194005,1.97383,-4.80216
0.103,-0.321525,2.17656,-4.24412
0.104,-1.47356,2.50789,-4.36401
0.105,-0.783648,2.46647,-4.19181
