DynoWare,Version 3.1.2.0
Path:,C:\Kistler\Dynoware\Data\
Filename:,messdat.dwd
Config ID:,messdat_065.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, November 29, 2023
Time:,16:22:47
Sampling rate [Hz]:,1000
Measuring time [s]:,75
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,75001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
0,2.09481,1.75258,-2.89045
0.001,2.28555,1.89972,-2.77056
0.002,2.2147,2.26702,-2.5504
0.003,2.70735,2.31389,-2.37601
0.004,2.21143,2.22451,-2.3237
0.005,2.26593,2.52424,-2.18419
0.006,2.93296,2.28664,-2.33024
0.007,2.00653,2.33895,-2.25176
0.008,2.22015,2.37601,-2.21906
0.009,2.0959,2.16021,-2.41525
0.01,2.27683,1.93787,-3.03432
0.011,2.24195,1.76784,-2.94931
0.012,1.7395,1.68828,-3.42887
0.013,2.38364,1.72097,-3.57056
0.014,2.28882,1.43978,-3.27628
0.015,1.88773,1.46266,-3.63595
0.016,1.93678,1.63705,-3.98036
0.017,2.06975,1.52479,-3.81906
0.018,1.86157,1.49972,-3.56184
0.019,1.75258,1.46048,-3.78418
0.02,1.84304,1.61634,-3.49644
0.021,2.03705,2.02615,-2.94277
0.022,2.7226,2.18419,-2.45667
0.023,2.42288,2.49699,-2.50898
0.024,1.74604,2.46429,-2.37165
0.025,2.02833,2.36293,-2.42615
0.026,2.62342,2.57656,-2.36511
0.027,2.63105,2.53514,-2.29536
0.028,2.02615,2.30299,-2.04686
0.029,2.00217,2.50571,-2.34113
0.03,2.60162,2.2801,-2.71824
0.031,1.97383,1.87683,-3.04522
0.032,1.70898,1.85503,-3.51606
0.033,2.54059,1.54877,-3.55966
0.034,2.32588,1.78746,-3.84086
0.035,1.15204,1.82125,-3.84086
0.036,1.95095,1.89427,-3.69481
0.037,2.59399,1.43215,-3.79726
0.038,1.70244,1.43869,-3.79508
0.039,1.51389,1.48664,-3.81688
0.04,2.56893,1.87138,-3.15639
0.041,2.27247,2.33241,-2.86211
0.042,1.92806,2.3335,-2.34113
0.043,2.00871,2.37383,-2.53514
0.044,2.26593,2.35966,-2.40871
0.045,2.40108,2.42615,-2.23214
0.046,2.17874,2.40326,-2.17983
0.047,2.91334,2.63432,-2.35203
0.048,2.48282,2.40108,-2.11879
0.049,1.491,2.18964,-2.65721
0.05,1.46375,2.16457,-2.99944
0.051,2.7019,1.65122,-3.2959
0.052,1.99999,1.697,-3.46592
0.053,1.92043,1.86048,-3.39617
0.054,2.87955,1.45067,-3.47464
0.055,2.06648,1.83541,-3.80598
0.056,1.5455,1.4158,-3.86265
0.057,1.95857,1.42561,-3.84086
0.058,2.00762,1.48228,-3.95639
0.059,2.02179,1.52261,-3.5553
0.06,1.8158,1.95748,-3.08881
0.061,2.62996,2.00108,-3.02124
0.062,2.29972,2.04141,-2.65939
0.063,1.74168,2.40544,-2.37383
0.064,1.87247,2.31934,-2.36075
0.065,2.62342,2.38037,-2.75966
0.066,2.41198,2.19945,-2.40871
0.067,2.19291,2.15367,-2.19945
0.068,2.42506,2.37165,-2.53732
